s_id,name,design_code,img_product,img_blueprint,img_imperial,img_metric,img_index
3,UNION,AHF/U,1.png,1B.png,1T.png,,
3,UNION_ELBOW,AHF/UE,2.png,2B.png,2T.png,,
3,REDUCING_UNION,AHF/RU,3.png,3B.png,3T.png,,
3,UNION_TEE,AHF/UT,4.png,4B.png,4T.png,,
3,UNION_CROSS,AHF/UC,5.png,5B.png,5T.png,,
3,REDUCING_TEE,AHF/RT,6.png,6B.png,6T.png,,
3,BULKHEAD_UNION,AHF/BU,7.png,7B.png,7T.png,,
3,WELD_BULKHEAD_UNION,AHF/WBU,8.png,8B.png,8T.png,,
3,BULKHEAD_UNION_ELBOW,AHF/BUE,9.png,9B.png,9T.png,,
3,MALE_CONNECTOR_(UNF/METRIC_PARALLEL)WITH_O-RING,"AHF/MC-UO, AHF/MC-MO",10.png,10B.png,10T.png,,
3,MALE_CONNECTOR_(BSP_TAPERED/BSP_PARALLEL),AHF/MC-R/G,11.png,11B.png,11T.png,,
3,MALE_CONNECTOR_(BSP_PARALLEL),AHF/MC-G,12.png,12B.png,12T.png,,
3,MALE_CONNECTOR_(METRIC_TAPERED),AHF/MC-MT,13.png,13B.png,13T.png,,
3,MALE_CONNECTOR_(METRIC_PARALLEL),AHF/MC-MT,14.png,14B.png,14T.png,,
3,MALE_CONNECTOR_BSP_PARALLEL_WITH_ED_RING,AHF/MC-GED,15.png,15B.png,15T.png,,
3,MALE_CONNECTOR_METRIC_PARALLEL_WITH_ED-RING,AHF/MC-MED,16.png,16B.png,16T.png,,
3,MALE_CONNECTOR_NPT_THREAD,AHF/MC-N,17.png,17B.png,17T.png,,
3,MALE_ELBOW_BSP_TAPERED/METRIC_TAPERED,"AHF/ME-R, AHF/ME-MT",18.png,18B.png,18T.png,,
3,FEMALE_CONNECTOR_BSP_PARALLEL/METRIC_PARALLEL,"AHF/FC-G,AHF/FC-M",19.png,19B.png,19T.png,,
3,ADJUSTABLE_ELBOW_WITH_STANDPIPE,AHF/AE,20.png,20B.png,20T.png,,
3,ADJUSTABLE_BRANCH_TEE_WITH_STANDPIPE,AHF/ABT,21.png,21B.png,21T.png,,
3,ADJUSTABLE_RUN_TEE_WITH_STANDPIPE,AHF/ART,22.png,22B.png,22T.png,,
3,SWIVEL_ADJUSTABLE_ELBOW_WITH_CONE,AHF/SLE,23.png,23B.png,23T.png,,
3,SWIVEL_BRANCH_TEE_WITH_CONE,AHF/SLBT,24.png,24B.png,24T.png,,
3,SWIVEL_RUN_TEE_WITH_CONE,AHF/SLRT,25.png,25B.png,25T.png,,
3,SWIVEL_UNION_WITH_CONE,AHF/SLU,26.png,26B.png,26T.png,,
3,REDUCER_STANDPIPE,AHF/R-SP,27.png,27B.png,27T.png,,
3,REDUCER_STANDPIPE,AHF/R-SP,28.png,28B.png,28T.png,,
3,REDUCER_TUBE_TO_STUB,AHF/R-TS,29.png,29B.png,29T.png,,
3,REDUCER_TUBE_TO_STUB,AHF/R-TS,30.png,30B.png,30T.png,,
3,SWIVEL_REDUCING_ADAPTER,AHF/SLRA,31.png,31B.png,31T.png,,
3,SWIVEL_REDUCING_ADAPTER,AHF/SLRA,32.png,32B.png,32T.png,,
3,ADAPTER_BSP_PARALLEL_WITH_ED-RING,AHF/A/GED,33.png,33B.png,33T.png,,
3,ADAPTER_METRIC_PARALLEL_WITH_ED-RING,AHF/A/MED,34.png,34B.png,34T.png,,
3,SWIVEL_ADAPTER_BSP_PARALLEL_WITH_CONE,AHF/SLA-G,35.png,35B.png,35T.png,,
3,SWIVEL_ADAPTER_METRIC_PARALLEL_WITH_CONE,AHF/SLA-M,36.png,36B.png,36T.png,,
3,WELD_CONNECTOR,AHF/WC,37.png,37B.png,37T.png,,
3,WELD_CONNECTOR_UNION_BALL_JOINT,AHF/WC-UJ,38.png,38B.png,38T.png,,
3,PORT_WELD_CONECTOR,AHF/PWC,39.png,39B.png,39T.png,,
3,REDUCING_PORT_WELD_CONNECTOR,AHF/RP-WC,40.png,40B.png,40T.png,,
3,REDUCING_ADAPTER_BSP_PARALLEL,AHF/RA-G,41.png,41B.png,41T.png,,
3,GAUGE_ADAPTER_BSP_PARALLEL,AHF/GA-G,42.png,42B.png,42T.png,,
3,REDUCING_ADAPTER_BSP_PARALLEL_WITH_ED-RING,AHF/RA-GED,43.png,43B.png,43T.png,,
3,GAUGE_ADAPTER_BSP_PARALLEL_WITH_ED-RING,AHF/GA-GED,44.png,44B.png,44T.png,,
3,BLANKING_PLUGS_WITH_ED-RING_FOR_PORT,AHF/BP-MED/GED,45.png,45B.png,45T.png,,
3,BLANKING_PLUGS_WITH_O-RING_FOR_PORT_acc._to_ISC6149/DIN852,AHF/BP-MO,46.png,46B.png,46T.png,,
3,PLUGGING_PLUG_WITH_O-RING,AHF/PP,47.png,47B.png,47T.png,,
3,CAP-CAPPING_TUBE_END,AHF/CC,48.png,48B.png,48T.png,,
3,TUBE_INSERT,AHF/T,49.png,49B.png,49T.png,,
3,BULKHEAD_LOCK_NUT,AHF/BN,50.png,50B.png,50T.png,,
3,SEALING_RING,"AHF/SR, AHF/SR-Q",51.png,51B.png,51T.png,,
3,ED/OD_RING,"AHF/ED, AHF/OR",52.png,52B.png,52T.png,,
3,NUT_&_SINGLE_FERRULE,"AHF/N,AHF/F",53.png,53B.png,53T.png,,
